tier,file,id,title,title_original,author,author_original,canon_id,awards,status,candidate_year,suggested_t,confidence,ol_title,ol_authors,ol_key,title_similarity,author_similarity,reason
P2_EXTERNAL_MATCH_FRIENDLY,La vuelta de Martín Fierro.md,WL-WORK-2263,La vuelta de Martín Fierro,,何塞·埃尔南德斯,Hernández,,,CANDIDATE,1894,T4,MEDIUM,La vuelta de Martín Fierro,José Hernández,/works/OL1188877W,1.000,0.818,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,Las aventuras de la China Iron.md,WL-WORK-2267,Las aventuras de la China Iron,,加布里埃拉·卡贝松·卡马拉,Cabezón Cámara,,,CANDIDATE,2017,T6,MEDIUM,Las aventuras de la China Iron,Gabriela Cabezón Cámara,/works/OL32580312W,1.000,0.765,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,Le Capitan.md,WL-WORK-2269,Le Capitan,,米歇尔·泽瓦科,Le Capitan,,,NO_MATCH,,,,,,,,,no result with first_publish_year
P2_EXTERNAL_MATCH_FRIENDLY,Los tres gauchos orientales.md,WL-WORK-2278,Los tres gauchos orientales,,安东尼奥·卢西奇,Lussich,,,CANDIDATE,2014,T6,LOW,Los Tres Gauchos Orientales,Antonio Lussich,/works/OL40974667W,1.000,0.667,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,Maid Marian.md,WL-WORK-2279,Maid Marian,,托马斯·洛夫·皮科克,Peacock,,,CANDIDATE,2012,T6,LOW,Maid Marian,Thomas Peacock,/works/OL34440867W,1.000,0.700,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,Masterman Ready.md,WL-WORK-0510,Masterman Ready,,弗雷德里克·马里亚特,Marryat,,,CANDIDATE_BOUNDARY,1800,T3,LOW,Masterman Ready,Frederick Marryat,/works/OL166773W,1.000,0.609,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,Merlin.md,WL-WORK-2282,Merlin,,T.H.怀特,T.H. White,,,CANDIDATE,1995,T6,LOW,Young Merlin Trilogy,Jane Yolen;Michael Ashley;Tanith Lee;T. H. White;Louise Cooper,/works/OL97299W,0.500,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,Missionary Travels and Researches in South Africa.md,WL-WORK-1362,Missionary Travels and Researches in South Africa,Missionary Travels,戴维·利文斯通,Livingstone,,,CANDIDATE,1833,T3,MEDIUM,Missionary travels and researches in South Africa,David Livingstone,/works/OL3554533W,1.000,0.815,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,Nativa.md,WL-WORK-2289,Nativa,,阿塞韦多·迪亚斯,Acevedo Díaz,,,CANDIDATE,1894,T4,MEDIUM,Nativa,Eduardo Acevedo Díaz,/works/OL1204820W,1.000,0.759,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,Naufragios.md,WL-WORK-0515,Naufragios,,卡贝萨·德·巴卡,Cabeza de Vaca,,,CANDIDATE,2015,T6,LOW,Naufragios,Álvar Núñez Cabeza de Vaca,/works/OL40764117W,1.000,0.706,Open Library first_publish_year candidate
