tier,file,id,title,title_original,author,author_original,canon_id,awards,status,candidate_year,suggested_t,confidence,ol_title,ol_authors,ol_key,title_similarity,author_similarity,reason
P1_CANON_AWARD,李自成.md,WL-WORK-1156,李自成,,姚雪垠,,,WL-AWARD-MAODUN,CANDIDATE,2005,T6,HIGH,李自成,姚雪垠,/works/OL42486639W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,欢乐之家.md,WL-WORK-1168,欢乐之家,Fun Home,艾莉森·贝克德尔,Alison Bechdel,,,CANDIDATE,2000,T6,HIGH,Fun Home,Alison Bechdel,/works/OL1835957W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,死亡之谜.md,WL-WORK-0122,死亡之谜,Déjà Dead,凯西·莱克斯,Kathy Reichs,,,CANDIDATE,1997,T6,HIGH,Déjà Dead,Kathy Reichs,/works/OL8075674W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,火焰与花朵.md,WL-WORK-2092,火焰与花朵,The Flame and the Flower,凯瑟琳·E.伍迪维斯,Kathleen E. Woodiwiss,,,CANDIDATE,1972,T5,HIGH,The Flame and the Flower,Kathleen E. Woodiwiss,/works/OL59383W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,炽热的岩石.md,WL-WORK-0256,炽热的岩石,The Hot Rock,唐纳德·E.韦斯特莱克,Donald E. Westlake,,,CANDIDATE,1970,T5,HIGH,The hot rock,Donald E. Westlake,/works/OL19133W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,牛轭事件.md,WL-WORK-2569,牛轭事件,The Ox-Bow Incident,沃尔特·范蒂尔伯格·克拉克,Walter Van Tilburg Clark,,,CANDIDATE,1940,T4,HIGH,The Ox-Bow Incident,Walter Van Tilburg Clark,/works/OL3922187W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,犬之力.md,WL-WORK-2570,犬之力,The Power of the Dog,托马斯·萨维奇,Thomas Savage,,,CANDIDATE,1967,T5,HIGH,The power of the dog,Thomas Savage,/works/OL4649200W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,瑞士家庭鲁滨逊.md,WL-WORK-0779,瑞士家庭鲁滨逊,Swiss Family Robinson,约翰·戴维·维斯,Johann David Wyss,,,CANDIDATE,1924,T4,HIGH,Swiss Family Robinson,Johann David Wyss,/works/OL27587809W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,田纳西的伙伴.md,WL-WORK-2575,田纳西的伙伴,Tennessee's Partner,布雷特·哈特,Bret Harte,,,CANDIDATE,1907,T4,HIGH,Tennessee's partner,Bret Harte,/works/OL1127972W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,申诉.md,WL-WORK-0145,申诉,The Appeal,珍妮丝·哈利特,Janice Hallett,,,CANDIDATE,2021,T6,HIGH,The Appeal,Janice Hallett,/works/OL24630275W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,疯狂的奥兰多.md,WL-WORK-2578,疯狂的奥兰多,Orlando Furioso,卢多维科·阿里奥斯托,Ludovico Ariosto,,,CANDIDATE,1544,T2,HIGH,Orlando furioso,Lodovico Ariosto,/works/OL10501317W,1.000,0.933,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,白狼.md,WL-WORK-2580,白狼,Le Loup blanc,保罗·费瓦尔,Paul Féval,,,CANDIDATE,1878,T3,HIGH,Le loup blanc,Paul Féval,/works/OL1544765W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,眩晕.md,WL-WORK-0231,眩晕,D'entre les morts,布瓦洛-纳尔瑟雅克,Boileau-Narcejac,,,CANDIDATE,1954,T5,HIGH,D'entre les morts,Boileau-Narcejac,/works/OL15724928W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,社交俱乐部命案.md,WL-WORK-0107,社交俱乐部命案,A Clubbable Woman,雷金纳德·希尔,Reginald Hill,,,CANDIDATE,1970,T5,HIGH,A clubbable woman,Reginald Hill,/works/OL57005W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,移动玩具店.md,WL-WORK-0062,移动玩具店,The Moving Toyshop,埃德蒙·克里斯平,Edmund Crispin,,,CANDIDATE,1946,T5,HIGH,The Moving Toyshop,Edmund Crispin,/works/OL3926760W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,精神病患者.md,WL-WORK-0135,精神病患者,The Alienist,凯莱布·卡尔,Caleb Carr,,,CANDIDATE,1994,T6,HIGH,The Alienist,Caleb Carr,/works/OL2671485W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,维里科尼姆.md,WL-WORK-0803,维里科尼姆,Viriconium,M.约翰·哈里森,M. John Harrison,,,CANDIDATE,2005,T6,HIGH,Viriconium,M. John Harrison,/works/OL2643421W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,绿色危机.md,WL-WORK-0060,绿色危机,Green for Danger,克里斯蒂安娜·布兰德,Christianna Brand,,,CANDIDATE,1944,T4,HIGH,Green for danger,Christianna Brand,/works/OL4463259W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,美生中国人.md,WL-WORK-1268,美生中国人,American Born Chinese,杨谨伦,Gene Luen Yang,,,CANDIDATE,2006,T6,HIGH,American Born Chinese,Gene Luen Yang,/works/OL8994750W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,耶洗别之死.md,WL-WORK-0061,耶洗别之死,Death of Jezebel,克里斯蒂安娜·布兰德,Christianna Brand,,,CANDIDATE,1948,T5,HIGH,Death of Jezebel,Christianna Brand,/works/OL4463244W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,聪明的恋人.md,WL-WORK-2604,聪明的恋人,La discreta enamorada,洛佩·德·维加,Lope de Vega,,,CANDIDATE,1930,T4,HIGH,La discreta enamorada,Lope de Vega,/works/OL914806W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,蚀刻城.md,WL-WORK-0829,蚀刻城,The Etched City,K.J.毕晓普,K.J. Bishop,,,CANDIDATE,2005,T6,HIGH,The Etched City,K.J. Bishop,/works/OL20709719W,1.000,1.000,Open Library first_publish_year candidate
P1_CANON_AWARD,西行之路.md,WL-WORK-2616,西行之路,The Way West,A.B.格思里,A.B. Guthrie Jr.,,WL-AWARD-PULITZER-FICTION,CANDIDATE,1949,T5,HIGH,The way west,A. B. Guthrie,/works/OL2944434W,1.000,0.900,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,解放了的耶路撒冷.md,WL-WORK-2618,解放了的耶路撒冷,Gerusalemme Liberata,托尔夸托·塔索,Torquato Tasso,,,CANDIDATE,1842,T3,HIGH,Gerusalemme Liberata,Torquato Tasso;Camillo Camilli,/works/OL37726400W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,解散.md,WL-WORK-0134,解散,Dissolution,C.J.桑瑟姆,C.J. Sansom,,,CANDIDATE,2001,T6,HIGH,Dissolution,C. J. Sansom,/works/OL5734168W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,赔偿风波.md,WL-WORK-0094,赔偿风波,Indemnity Only,萨拉·帕雷茨基,Sara Paretsky,,,CANDIDATE,1982,T6,HIGH,Indemnity Only,Sara Paretsky,/works/OL18044W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,野兽必须死.md,WL-WORK-0066,野兽必须死,The Beast Must Die,尼古拉斯·布莱克,Nicholas Blake,,,CANDIDATE,1938,T4,HIGH,The beast must die,Cecil Day-Lewis;Nicholas Blake,/works/OL1196417W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,队列.md,WL-WORK-0478,队列,The Queue,巴斯玛·阿卜杜勒·阿齐兹,Basma Abdel Aziz,,,CANDIDATE,2016,T6,HIGH,The Queue,Basma Abdel Aziz,/works/OL19661249W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,鲁珀特·亨曹.md,WL-WORK-2651,鲁珀特·亨曹,Rupert of Hentzau,安东尼·霍普,Anthony Hope,,,CANDIDATE,2008,T6,HIGH,Rupert of Hentzau,Anthony Hope,/works/OL20258258W,1.000,1.000,Open Library first_publish_year candidate
