届次数字,届次,评选作品时间范围,届内序号,奖项类型,作品名称,作者,出版单位,来源URL
8,第八届,2007—2010,5,正式获奖,一句顶一万句,刘震云,长江文艺出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
9,第九届,2011—2014,1,正式获奖,江南三部曲,格非,上海文艺出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
9,第九届,2011—2014,2,正式获奖,这边风景,王蒙,花城出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
9,第九届,2011—2014,3,正式获奖,生命册,李佩甫,作家出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
9,第九届,2011—2014,4,正式获奖,繁花,金宇澄,上海文艺出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
9,第九届,2011—2014,5,正式获奖,黄雀记,苏童,作家出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
10,第十届,2015—2018,1,正式获奖,人世间,梁晓声,中国青年出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
10,第十届,2015—2018,2,正式获奖,牵风记,徐怀中,人民文学出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
10,第十届,2015—2018,3,正式获奖,北上,徐则臣,北京十月文艺出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
10,第十届,2015—2018,4,正式获奖,主角,陈彦,作家出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
10,第十届,2015—2018,5,正式获奖,应物兄,李洱,人民文学出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
11,第十一届,2019—2022,1,正式获奖,雪山大地,杨志军,作家出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
11,第十一届,2019—2022,2,正式获奖,宝水,乔叶,北京十月文艺出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
11,第十一届,2019—2022,3,正式获奖,本巴,刘亮程,译林出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
11,第十一届,2019—2022,4,正式获奖,千里江山图,孙甘露,上海文艺出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
11,第十一届,2019—2022,5,正式获奖,回响,东西,人民文学出版社,https://www.chinawriter.com.cn/n1/2019/0816/c405645-31300293.html
